county,2015 Millions of kWh (GWh)
Alameda,2899.423542
Alpine,11.855504
Amador,132.980232
Butte,716.501321
Calaveras,191.705184
Colusa,64.437041
Contra Costa,2742.073498
Del Norte,116.055484
El Dorado,723.831358
Fresno,2674.195219
Glenn,90.43603
Humboldt,389.990132
Imperial,536.315921
Inyo,56.874062
Kern,2267.943879
Kings,368.152945
Lake,276.406893
Lassen,94.823925
Los Angeles,20471.56454
Madera,421.33341
Marin,653.265528
Mariposa,67.60943
Mendocino,294.172808
Merced,706.260171
Modoc,54.069319
Mono,78.857738
Monterey,684.295335
Napa,362.093099
Nevada,406.458242
Orange,6875.75933
Placer,1365.818731
Plumas,91.395498
Riverside,7090.413146
Sacramento,4738.564168
San Benito,118.085033
San Bernardino,4953.489541
San Diego,6883.311679
San Francisco,1437.37961
San Joaquin,1745.357156
San Luis Obispo,634.625454
San Mateo,1505.671732
Santa Barbara,766.358133
Santa Clara,3859.209092
Santa Cruz,551.701187
Shasta,729.764078
Sierra,14.359115
Siskiyou,218.689488
Solano,1016.376649
Sonoma,1283.718184
Stanislaus,1708.654083
Sutter,274.445158
Tehama,229.651559
Trinity,10.261935
Tulare,1219.385964
Tuolumne,206.545733
Ventura,1822.525154
Yolo,504.997365
Yuba,210.034874
